UserID,SessionID,ProductID,CartEvent,OrderID,OrderStatus,PaymentMethod,Timestamp
U0034,S0060,P0047,view,No Order,Pending,Paypal,2024-01-09 20:21:00
U0048,S0156,P0002,add,O0135,No Order,None,2024-01-18 23:25:00
U0013,S0087,P0031,view,O0136,No order,None,2024-01-25 12:00:00
U0067,S0130,P0030,add,O0137,Pending,None,2024-01-07 13:57:00
U0085,S0291,P0044,view,O0138,No order,None,2024-01-04 23:32:00
U0075,S0032,P0045,purchase,No Order,Shipped,None,2024-01-26 8:53:00
U0005,S0069,P0019,add,No Order,Canceled,Debit Card,2024-01-19 13:33:00
U0089,S0162,P0030,remove,No Order,No order,Paypal,2024-01-15 11:38:00
U0019,S0096,P0042,purchase,O0142,Delivered,Paypal,2024-01-20 17:39:00
U0049,S0300,P0048,view,O0143,No order,None,2024-01-22 9:27:00
U0042,S0285,P0023,remove,No Order,No Order,None,2024-01-04 13:24:00
U0037,S0006,P0032,view,O0145,No Order,Paypal,2024-01-06 11:10:00
U0061,S0237,P0027,view,No Order,Pending,None,2024-01-15 10:35:00
U0006,S0032,P0035,add,No Order,Canceled,None,2024-01-28 23:45:00
U0058,S0127,P0019,remove,No Order,No order,None,2024-01-29 4:18:00
U0087,S0257,P0003,remove,No Order,No order,None,2024-01-14 5:30:00
U0087,S0251,P0046,add,No Order,No Order,Debit Card,2024-01-21 17:18:00
U0001,S0222,P0013,remove,O0151,Pending,None,2024-01-27 5:41:00
U0042,S0271,P0001,remove,O0152,Pending,None,2024-01-16 9:05:00
U0043,S0090,P0008,purchase,O0153,No order,None,2024-01-25 14:48:00
U0029,S0293,P0031,remove,No Order,Canceled,None,2024-01-15 11:20:00
U0031,S0169,P0018,add,No Order,No order,Credit Card,2024-01-17 16:57:00
U0083,S0100,P0011,purchase,O0156,Shipped,Debit Card,2024-01-19 0:18:00
U0032,S0105,P0003,purchase,No Order,No order,None,2024-01-12 4:07:00
U0079,S0117,P0030,add,O0158,Canceled,None,2024-01-11 2:12:00
U0036,S0012,P0041,purchase,O0159,Canceled,None,2024-01-16 12:12:00
U0082,S0216,P0005,remove,O0160,No order,Credit Card,2024-01-07 22:48:00
U0027,S0030,P0026,view,O0161,No order,Paypal,2024-01-10 4:50:00
U0094,S0172,P0015,view,O0162,Canceled,Debit Card,2024-01-21 9:03:00
U0027,S0156,P0032,add,O0163,Pending,None,2024-01-06 20:15:00
U0008,S0022,P0026,view,O0164,No Order,None,2024-01-24 21:03:00
U0099,S0238,P0028,add,No Order,Canceled,None,2024-01-07 21:24:00
U0002,S0148,P0025,view,No Order,No order,None,2024-01-09 7:07:00
U0047,S0183,P0011,purchase,O0167,No order,Paypal,2024-01-08 3:06:00
U0099,S0100,P0048,remove,No Order,No Order,None,2024-01-24 10:04:00
U0037,S0051,P0038,add,O0169,No order,Debit Card,2024-01-20 2:00:00
U0029,S0253,P0006,remove,O0170,No Order,None,2024-01-01 15:07:00
U0023,S0152,P0007,remove,No Order,No order,None,2024-01-16 4:38:00
U0084,S0036,P0016,remove,No Order,Canceled,None,2024-01-19 8:40:00
U0044,S0250,P0010,remove,O0173,No order,None,2024-01-03 5:12:00
U0040,S0036,P0039,view,No Order,No order,Debit Card,2024-01-06 18:43:00
U0013,S0057,P0028,view,No Order,No Order,Debit Card,2024-01-07 16:28:00
U0087,S0085,P0024,remove,No Order,No Order,Paypal,2024-01-17 16:17:00
U0071,S0295,P0008,purchase,O0177,Delivered,None,2024-01-13 3:15:00
U0004,S0295,P0012,add,No Order,No Order,None,2024-01-17 20:23:00
U0006,S0270,P0032,purchase,No Order,Delivered,Credit Card,2024-01-16 8:59:00
U0006,S0121,P0002,remove,No Order,No order,None,2024-01-26 16:07:00
U0095,S0034,P0040,add,O0181,No order,Debit Card,2024-01-03 7:52:00
U0091,S0084,P0037,add,No Order,Pending,None,2024-01-11 1:05:00
U0017,S0266,P0026,purchase,No Order,Shipped,None,2024-01-14 11:47:00
U0016,S0234,P0042,purchase,O0184,No order,Debit Card,2024-01-16 22:08:00
U0097,S0178,P0024,view,O0185,Canceled,Debit Card,2024-01-23 16:28:00
U0026,S0177,P0010,remove,O0186,No order,None,2024-01-24 22:36:00
U0047,S0034,P0003,remove,O0187,No Order,None,2024-01-14 18:33:00
U0020,S0280,P0012,remove,No Order,No order,None,2024-01-20 15:47:00
U0063,S0287,P0013,view,No Order,No order,None,2024-01-20 4:41:00
U0079,S0182,P0043,view,O0190,Pending,None,2024-01-15 8:45:00
U0052,S0299,P0035,add,O0191,No order,Paypal,2024-01-15 17:18:00
U0047,S0174,P0042,remove,No Order,Canceled,Debit Card,2024-01-28 22:03:00
U0053,S0208,P0050,remove,No Order,Pending,Credit Card,2024-01-21 9:22:00
U0063,S0124,P0050,purchase,O0194,Pending,None,2024-01-25 3:34:00
U0056,S0155,P0032,remove,O0195,No order,None,2024-01-07 3:41:00
U0083,S0278,P0034,remove,No Order,No order,None,2024-01-26 1:37:00
U0017,S0139,P0015,purchase,O0197,No order,None,2024-01-06 9:17:00
U0016,S0075,P0041,view,O0198,No Order,None,2024-01-12 14:34:00
U0032,S0134,P0024,remove,O0199,No Order,Debit Card,2024-01-20 17:45:00
U0072,S0034,P0010,remove,O0200,No Order,None,2024-01-11 1:06:00
U0039,S0205,P0039,add,No Order,Canceled,None,2024-01-17 10:34:00
U0098,S0281,P0034,remove,O0202,Pending,None,2024-01-15 15:18:00
U0042,S0235,P0006,remove,O0203,No order,None,2024-01-05 17:42:00
U0029,S0095,P0050,purchase,No Order,No order,Debit Card,2024-01-27 19:15:00
U0021,S0205,P0026,remove,No Order,No order,None,2024-01-26 11:43:00
U0092,S0193,P0042,view,O0206,No Order,Credit Card,2024-01-08 5:09:00
U0098,S0264,P0019,add,O0207,No Order,None,2024-01-15 15:21:00
U0100,S0232,P0049,remove,No Order,No Order,None,2024-01-29 13:59:00
U0011,S0056,P0012,add,No Order,No order,None,2024-01-12 0:08:00
U0097,S0033,P0042,view,O0210,No order,Credit Card,2024-01-12 19:07:00
U0056,S0282,P0045,view,No Order,No order,Paypal,2024-01-04 10:44:00
U0077,S0201,P0008,view,No Order,No order,None,2024-01-08 4:20:00
U0068,S0219,P0034,add,No Order,No Order,None,2024-01-17 23:28:00
U0075,S0295,P0027,view,No Order,No order,None,2024-01-02 16:21:00
U0014,S0061,P0038,purchase,No Order,Delivered,None,2024-01-06 21:21:00
U0058,S0036,P0041,remove,No Order,No order,None,2024-01-16 4:33:00
U0010,S0022,P0012,remove,No Order,No order,None,2024-01-19 6:29:00
U0019,S0147,P0049,add,No Order,No order,Debit Card,2024-01-12 19:43:00
U0017,S0261,P0014,add,O0219,No Order,Credit Card,2024-01-21 9:38:00
U0021,S0113,P0033,purchase,No Order,No order,Credit Card,2024-01-03 0:33:00
U0046,S0062,P0023,remove,No Order,No order,Debit Card,2024-01-06 22:24:00
U0029,S0127,P0039,add,No Order,No order,None,2024-01-30 5:51:00
U0016,S0240,P0039,remove,No Order,Pending,None,2024-01-05 16:17:00
U0059,S0128,P0030,view,No Order,No order,Credit Card,2024-01-11 8:39:00
U0083,S0064,P0013,view,No Order,No order,Debit Card,2024-01-24 9:31:00
U0048,S0003,P0033,remove,O0226,No order,None,2024-01-09 12:39:00
U0081,S0054,P0019,purchase,O0227,Delivered,Debit Card,2024-01-13 10:30:00
U0005,S0239,P0028,add,O0228,No Order,None,2024-01-14 4:24:00
U0061,S0124,P0041,add,O0229,Pending,None,2024-01-26 13:35:00
U0016,S0197,P0003,add,O0230,No order,Debit Card,2024-01-16 7:13:00
U0006,S0147,P0004,add,O0231,Canceled,None,2024-01-23 4:01:00
U0095,S0278,P0030,remove,O0232,No order,None,2024-01-16 23:13:00
U0015,S0264,P0010,view,O0233,Canceled,Paypal,2024-01-15 19:47:00
U0012,S0252,P0029,remove,O0234,No Order,None,2024-01-25 20:55:00
U0076,S0180,P0020,purchase,O0235,Canceled,None,2024-01-10 10:57:00
U0005,S0146,P0027,remove,No Order,No order,None,2024-01-19 22:48:00
U0093,S0008,P0045,view,O0237,No Order,None,2024-01-09 21:40:00
U0012,S0063,P0040,purchase,O0238,No order,None,2024-01-17 7:48:00
U0086,S0136,P0038,add,No Order,No order,None,2024-01-25 9:47:00
U0006,S0206,P0039,add,No Order,Canceled,None,2024-01-19 9:13:00
U0046,S0118,P0024,purchase,No Order,Shipped,None,2024-01-19 20:54:00
U0039,S0191,P0003,add,O0242,No Order,None,2024-01-14 3:48:00
U0055,S0248,P0030,view,O0243,No order,None,2024-01-05 13:27:00
U0047,S0249,P0017,add,O0244,No order,None,2024-01-03 16:56:00
U0036,S0082,P0004,view,O0245,No order,None,2024-01-08 23:55:00
U0065,S0102,P0048,add,O0246,No order,Paypal,2024-01-11 19:48:00
U0013,S0148,P0026,purchase,No Order,No order,Credit Card,2024-01-10 9:04:00
U0033,S0256,P0026,add,O0248,No Order,Credit Card,2024-01-26 21:50:00
U0064,S0166,P0015,view,O0249,No order,Paypal,2024-01-05 13:38:00
U0036,S0292,P0041,add,No Order,No order,None,2024-01-17 21:16:00
U0071,S0228,P0017,view,O0251,No Order,None,2024-01-06 14:02:00
U0049,S0078,P0022,view,O0252,No order,None,2024-01-22 14:27:00
U0095,S0283,P0033,remove,No Order,No order,Paypal,2024-01-10 1:09:00
U0043,S0097,P0050,purchase,O0254,No order,None,2024-01-11 15:00:00
U0058,S0260,P0025,add,O0255,No order,None,2024-01-08 14:53:00
U0024,S0028,P0028,remove,O0256,Canceled,None,2024-01-07 8:19:00
U0080,S0142,P0045,view,O0257,Pending,None,2024-01-21 19:11:00
U0069,S0084,P0035,purchase,O0258,No order,Debit Card,2024-01-30 23:29:00
U0079,S0280,P0010,add,O0259,No order,None,2024-01-12 21:41:00
U0071,S0122,P0032,purchase,No Order,No order,None,2024-01-10 20:25:00
U0020,S0169,P0050,remove,O0261,No order,Paypal,2024-01-04 0:55:00
U0017,S0240,P0033,view,No Order,No order,Debit Card,2024-01-17 22:04:00
U0003,S0108,P0046,add,No Order,No Order,None,2024-01-11 12:49:00
U0013,S0238,P0025,purchase,O0264,Canceled,None,2024-01-15 9:24:00
U0014,S0245,P0042,add,O0265,No Order,None,2024-01-04 9:51:00
U0040,S0219,P0018,purchase,No Order,Pending,None,2024-01-13 3:06:00
U0058,S0072,P0037,view,No Order,No Order,None,2024-01-15 1:51:00
U0097,S0272,P0039,add,No Order,No order,None,2024-01-02 1:29:00
U0012,S0232,P0023,view,O0269,No order,None,2024-01-15 4:20:00
U0072,S0283,P0017,view,O0270,No order,None,2024-01-08 3:45:00
U0032,S0025,P0040,remove,No Order,No order,Credit Card,2024-01-17 2:31:00
U0092,S0100,P0008,purchase,No Order,No order,None,2024-01-02 4:09:00
U0058,S0271,P0039,purchase,O0273,No order,None,2024-01-09 4:25:00
U0029,S0232,P0032,view,O0274,Canceled,Credit Card,2024-01-26 12:17:00
U0025,S0088,P0027,purchase,No Order,No order,None,2024-01-28 13:51:00
U0093,S0139,P0029,purchase,O0276,No order,None,2024-01-21 14:38:00
U0039,S0282,P0021,remove,No Order,No order,Paypal,2024-01-17 11:40:00
U0084,S0150,P0002,add,No Order,No order,None,2024-01-17 9:28:00
U0055,S0125,P0031,view,O0279,Pending,None,2024-01-03 14:12:00
U0031,S0115,P0045,add,No Order,No order,Debit Card,2024-01-16 17:15:00
U0071,S0298,P0012,remove,O0281,Pending,None,2024-01-20 19:04:00
U0091,S0261,P0032,view,O0282,No order,None,2024-01-07 16:32:00
U0068,S0254,P0039,add,No Order,No order,None,2024-01-18 11:18:00
U0049,S0035,P0044,purchase,O0284,Shipped,None,2024-01-23 23:57:00
U0039,S0229,P0005,purchase,No Order,Canceled,None,2024-01-24 5:44:00
U0058,S0008,P0023,purchase,O0286,Pending,Credit Card,2024-01-21 14:48:00
U0040,S0030,P0045,add,O0287,No Order,None,2024-01-19 2:06:00
U0039,S0016,P0005,purchase,O0288,No order,None,2024-01-04 2:35:00
U0018,S0081,P0020,view,O0289,No order,None,2024-01-16 15:22:00
U0026,S0149,P0034,add,O0290,No order,None,2024-01-22 22:55:00
U0084,S0070,P0041,remove,O0291,No order,None,2024-01-21 2:43:00
U0043,S0215,P0026,remove,No Order,No order,Paypal,2024-01-04 2:15:00
U0098,S0037,P0013,view,No Order,No Order,None,2024-01-26 12:53:00
U0096,S0020,P0041,remove,No Order,No order,None,2024-01-21 9:46:00
U0063,S0093,P0026,view,No Order,No order,None,2024-01-16 14:49:00
U0072,S0202,P0001,purchase,O0296,No order,None,2024-01-07 7:33:00
U0027,S0286,P0038,add,O0297,No Order,Paypal,2024-01-22 10:25:00
U0048,S0240,P0005,view,O0298,No order,None,2024-01-06 17:28:00
U0083,S0274,P0030,add,No Order,No Order,Paypal,2024-01-04 4:24:00
U0061,S0105,P0043,view,O0300,No order,Credit Card,2024-01-13 0:29:00
U0099,S0136,P0019,remove,No Order,Pending,None,2024-01-10 2:56:00
U0058,S0022,P0012,remove,O0302,No order,Credit Card,2024-01-09 5:14:00
U0003,S0214,P0023,view,No Order,No order,None,2024-01-27 18:36:00
U0075,S0052,P0033,purchase,No Order,Delivered,Paypal,2024-01-28 2:23:00
U0075,S0199,P0024,remove,O0305,No Order,Debit Card,2024-01-27 9:04:00
U0097,S0071,P0035,purchase,O0306,Canceled,None,2024-01-27 18:57:00
U0001,S0228,P0049,view,O0307,No order,None,2024-01-02 8:43:00
U0012,S0170,P0045,view,No Order,Canceled,None,2024-01-15 1:29:00
U0080,S0165,P0039,remove,O0309,No order,None,2024-01-27 4:42:00
U0062,S0047,P0029,remove,O0310,No Order,None,2024-01-20 0:48:00
U0094,S0229,P0033,view,O0311,Pending,None,2024-01-24 0:26:00
U0021,S0094,P0008,add,O0312,No Order,None,2024-01-14 2:12:00
U0037,S0196,P0033,add,O0313,No order,Paypal,2024-01-26 15:49:00
U0004,S0221,P0025,add,O0314,No Order,None,2024-01-23 17:22:00
U0089,S0293,P0040,view,No Order,Canceled,None,2024-01-19 17:23:00
U0046,S0145,P0046,remove,O0316,No order,None,2024-01-01 23:28:00
U0044,S0040,P0014,add,O0317,No order,None,2024-01-07 21:24:00
U0011,S0245,P0001,view,O0318,No order,None,2024-01-02 4:42:00
U0056,S0167,P0034,add,O0319,No Order,Debit Card,2024-01-22 11:51:00
U0012,S0267,P0022,purchase,No Order,Delivered,Paypal,2024-01-03 16:12:00
U0095,S0131,P0041,view,O0321,No order,Debit Card,2024-01-14 2:47:00
U0024,S0161,P0034,remove,No Order,No order,None,2024-01-01 14:16:00
U0015,S0142,P0014,add,No Order,No order,None,2024-01-19 16:33:00
U0084,S0257,P0010,view,O0324,Canceled,None,2024-01-10 12:09:00
U0065,S0080,P0038,view,No Order,Pending,None,2024-01-08 9:30:00
U0054,S0220,P0034,remove,O0326,No order,Paypal,2024-01-10 16:56:00
U0099,S0058,P0020,view,O0327,No order,Paypal,2024-01-21 13:33:00
U0055,S0047,P0028,view,O0328,Pending,Credit Card,2024-01-09 10:06:00
U0020,S0167,P0010,purchase,O0329,No order,Debit Card,2024-01-15 12:34:00
U0036,S0251,P0018,purchase,O0330,Shipped,None,2024-01-25 0:50:00
U0100,S0246,P0031,view,No Order,No Order,Credit Card,2024-01-04 4:40:00
U0095,S0052,P0050,view,No Order,Canceled,None,2024-01-22 13:34:00
U0011,S0249,P0047,purchase,No Order,No order,None,2024-01-29 22:01:00
U0009,S0080,P0022,remove,No Order,No Order,Paypal,2024-01-02 12:40:00
U0006,S0029,P0022,purchase,O0335,Pending,None,2024-01-16 1:11:00
U0020,S0182,P0023,view,O0336,Canceled,Debit Card,2024-01-16 11:25:00
U0037,S0025,P0039,add,No Order,No order,Paypal,2024-01-30 11:57:00
U0081,S0010,P0002,add,O0338,Canceled,None,2024-01-29 22:38:00
U0009,S0093,P0027,purchase,No Order,Delivered,Credit Card,2024-01-02 10:11:00
U0076,S0266,P0040,remove,O0340,No Order,Debit Card,2024-01-15 19:08:00
U0067,S0277,P0004,view,O0341,No Order,None,2024-01-14 0:39:00
U0034,S0022,P0009,view,No Order,No Order,Debit Card,2024-01-01 6:15:00
U0009,S0122,P0022,purchase,O0343,No order,None,2024-01-11 3:16:00
U0051,S0101,P0006,purchase,No Order,No order,None,2024-01-02 20:23:00
U0013,S0112,P0023,purchase,No Order,No order,None,2024-01-13 9:34:00
U0024,S0201,P0005,remove,O0346,No Order,Credit Card,2024-01-05 13:45:00
U0077,S0091,P0043,add,O0347,No order,None,2024-01-01 21:05:00
U0066,S0140,P0010,view,O0348,No order,Debit Card,2024-01-18 12:00:00
U0050,S0214,P0031,add,No Order,No order,Debit Card,2024-01-23 3:18:00
U0011,S0097,P0043,remove,No Order,No order,None,2024-01-10 22:00:00
U0090,S0082,P0024,remove,No Order,No order,Debit Card,2024-01-11 13:03:00
U0083,S0230,P0012,remove,No Order,Pending,None,2024-01-21 4:31:00
U0057,S0020,P0032,add,O0353,Canceled,Credit Card,2024-01-30 7:15:00
U0079,S0234,P0045,view,No Order,No order,Credit Card,2024-01-28 9:10:00
U0092,S0263,P0036,view,No Order,No Order,None,2024-01-09 8:10:00
U0043,S0045,P0021,view,No Order,No order,None,2024-01-16 5:40:00
U0025,S0207,P0049,remove,No Order,Canceled,Credit Card,2024-01-07 1:04:00
U0047,S0060,P0044,add,No Order,No order,Credit Card,2024-01-13 4:17:00
